Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,Daily Return %,Volatility,RSI
2021-05-07T04:00:00.000Z,127.66381362314827,128.06381882504127,126.3271629457147,127.03939819335938,78973300,0.22,0,,,,,
2021-05-10T04:00:00.000Z,126.25887677480436,126.38570115821472,123.7221806852606,123.7612075805664,88071200,0,0,,,-2.580451938069972,,
2021-05-11T04:00:00.000Z,120.492788250042,123.19533577203656,119.7805603965293,122.84410858154297,126142800,0,0,,,-0.7410229885050357,,
2021-05-12T04:00:00.000Z,120.39518935845192,121.6049930518603,119.27319057596678,119.78052520751953,112172300,0,0,,,-2.4938789571580133,,
2021-05-13T04:00:00.000Z,121.54646856304096,123.07823863645709,121.23426088704589,121.92697143554688,105861300,0,0,,,1.7919826485220502,,
2021-05-14T04:00:00.000Z,123.17580356771927,124.7758688561986,122.78554210729591,124.3465805053711,81918000,0,0,,,1.9844740186163667,,
2021-05-17T04:00:00.000Z,123.73192293508849,123.83924502210618,122.12209907344122,123.1953125,74244600,0,0,,,-0.9258541736267278,,
2021-05-18T04:00:00.000Z,123.47827441492306,123.8978042561465,121.74161842592076,121.8099136352539,63342900,0,0,,,-1.1245548524795534,,
2021-05-19T04:00:00.000Z,120.16106519010208,121.8782039395482,119.86836719410006,121.65380859375,92612000,0,0,,,-0.1281546278501966,,
2021-05-20T04:00:00.000Z,122.1806452374261,124.61001150333645,122.05380598133526,124.20999145507812,76857100,0,0,123.05678176879883,,2.1011942748658363,,
2021-05-21T04:00:00.000Z,124.70757329750661,124.88319058200729,122.16112639405591,122.37577056884766,79295400,0,0,122.59041900634766,,-1.4767096146962033,1.764451835179989,
2021-05-24T04:00:00.000Z,122.94163409095792,124.82463851355793,122.87333890230889,124.00508880615234,63092900,0,0,122.61480712890625,,1.3314059063579409,1.6470276677838478,
2021-05-25T04:00:00.000Z,124.70757079826137,125.19540319531397,123.24409593795775,123.80997467041016,72009500,0,0,122.71139373779297,,-0.1573436522812388,1.6268118145821793,
2021-05-26T04:00:00.000Z,123.8685296817526,124.28805950176616,123.34167776055286,123.7612075805664,56575900,0,0,123.10946197509766,,-0.03938865989882023,1.3562715085186035,42.112644359246325
2021-05-27T04:00:00.000Z,123.3611656283478,124.53194243495389,122.03428127759828,122.22940826416016,94625600,0,0,123.13970565795898,,-1.2377055349989785,1.333009439182297,39.22160223727982
2021-05-28T04:00:00.000Z,122.51236002849775,122.736762785055,121.51720038633076,121.57573699951172,71311100,0,0,122.86262130737305,,-0.5347905008553533,1.1484465209036943,44.44990393788784
2021-06-01T04:00:00.000Z,122.03429182182089,122.29771402080185,120.92205152635813,121.25376892089844,67637100,0,0,122.6684669494629,,-0.2648292221453463,1.1219713889113017,45.83537952471353
2021-06-02T04:00:00.000Z,121.25377238108098,122.19039542274523,121.02937706510446,122.01477813720703,59278900,0,0,122.6889533996582,,0.6276169582861035,1.089756278902573,56.65317468900143
2021-06-03T04:00:00.000Z,121.64402429754462,121.80988298653327,120.13176404387289,120.53178405761719,76229200,0,0,122.57675094604492,,-1.215421690905505,1.1584880693825768,45.674488398914974
2021-06-04T04:00:00.000Z,121.04890215666704,123.08801464449839,120.83425795335646,122.8245849609375,75169300,0,0,122.43821029663086,,1.9022375892356225,1.1177320975833467,45.24394762050759
2021-06-07T04:00:00.000Z,123.09775754946514,123.24410653680496,121.7903901347652,122.83433532714844,71057600,0,0,122.48406677246093,,0.007938448327782233,1.0088006028723913,48.785333012940974
2021-06-08T04:00:00.000Z,123.51730209755509,125.33201933627309,123.1367991511912,123.65389251708984,74403800,0,0,122.44894714355469,,0.6672052954564078,0.9335278659923165,56.45051952391475
2021-06-09T04:00:00.000Z,124.1124471042461,124.63929904628665,123.43924615992437,124.03439331054688,56877900,0,0,122.47138900756836,,0.3077143676689653,0.9377461909260263,58.19893024072211
2021-06-10T04:00:00.000Z,123.9270603510902,125.06857651400928,122.87336400291547,123.03922271728516,71186400,0,0,122.39919052124023,,-0.8023343902445634,0.9736500237987454,45.481974711659575
2021-06-11T04:00:00.000Z,123.44899833208643,124.33684344114933,123.02946851727127,124.24903106689453,53522400,0,0,122.60115280151368,,0.9832704749681564,0.9258329149070104,57.594978996665446
2021-06-14T04:00:00.000Z,124.70758548178374,127.36134728829198,123.9758479654745,127.30281066894531,96906500,0,0,123.17386016845703,,2.4577894699288727,1.1337744559494654,61.98588333424841
2021-06-15T04:00:00.000Z,126.77596672295411,127.41989931286103,126.23935623136502,126.48326873779297,62746300,0,0,123.69681015014649,,-0.6437736345693001,1.1668083155415945,59.294457925411756
2021-06-16T04:00:00.000Z,127.19547149849583,127.70281361013316,125.33199152138447,126.98082733154297,91815000,0,0,124.19341506958008,,0.3933789810425248,1.1647323630938833,60.855155865923514
2021-06-17T04:00:00.000Z,126.63936820067508,129.32240559947226,126.49301177385304,128.58090209960938,96721700,0,0,124.99832687377929,,1.2600916230358639,1.038056338479484,71.31633324542244
2021-06-18T04:00:00.000Z,127.52722244492858,128.30773056203458,127.06866573814787,127.28330993652344,108953300,0,0,125.44419937133789,,-1.0091639908395678,1.0569697731320113,68.36164515361034
2021-06-21T04:00:00.000Z,127.1271913132279,129.18581330080102,126.063736441913,129.0784912109375,79663300,0,0,126.0686149597168,,1.4103823001690774,1.0970229009014885,72.9931684237335
2021-06-22T04:00:00.000Z,128.91260151651892,130.81511548198895,128.4150106343884,130.71754455566406,74783600,0,0,126.77498016357421,,1.269811360010431,1.1233141273010792,74.3184189442886
2021-06-23T04:00:00.000Z,130.51273014944366,131.04934073165782,129.98587070972775,130.44442749023438,60214200,0,0,127.41598358154297,,-0.20893680825941896,1.1479567217722726,79.70794855167834
2021-06-24T04:00:00.000Z,131.17610718778187,131.3614830240449,129.69311538491124,130.16143798828125,68711000,0,0,128.1282051086426,,-0.21694257654226723,1.0868387487309716,75.00005199375244
2021-06-25T04:00:00.000Z,130.2102425761428,130.6297648884673,129.57606120699057,129.86875915527344,70783700,0,0,128.69017791748047,,-0.2248583278821492,1.1027756405752591,73.51611310390983
2021-06-28T04:00:00.000Z,130.1614570490265,131.95664929646315,130.10292043684166,131.4980926513672,62111300,0,0,129.10970611572264,,1.2546000336737473,0.9075903515935757,74.87635075399305
2021-06-29T04:00:00.000Z,131.51761747124857,133.16646828417475,131.07857796707717,133.01036071777344,64556100,0,0,129.7624153137207,,1.1500304193883926,0.8705970233093283,76.559027737018
2021-06-30T04:00:00.000Z,132.8542738516881,134.0640853489463,132.56157584088896,133.6250457763672,63261400,0,0,130.4268371582031,,0.4621332167484393,0.8698638309594755,82.04395097835892
2021-07-01T04:00:00.000Z,133.27379128495963,133.98601159157678,132.4542339993765,133.92747497558594,52485800,0,0,130.96149444580078,,0.2263267319847273,0.8320444491995084,81.00021944497527
2021-07-02T04:00:00.000Z,134.54212006442484,136.5909908825578,134.39577852908815,136.55197143554688,78852600,0,0,131.88836059570312,,1.9596400667147407,0.7978243972228659,80.46295011971029
2021-07-06T04:00:00.000Z,136.65928383502748,139.66427232062847,136.65928383502748,138.56179809570312,108181800,0,0,132.8366912841797,,1.4718400906462925,0.8040467183264365,86.88937593466731
2021-07-07T04:00:00.000Z,140.04479519196917,141.3619286538461,139.1862333107396,141.0497283935547,104911600,0,0,133.86990966796876,,1.795538403834196,0.8596638305675166,88.31054485833086
2021-07-08T04:00:00.000Z,138.1325533693018,140.55216163148216,137.24470813835896,139.75213623046875,105575500,0,0,134.8006805419922,,-0.9199536772346084,0.9714772977601085,80.92952753044716
2021-07-09T04:00:00.000Z,139.27403406481795,142.10341304013653,139.17646311232951,141.57656860351562,99890800,0,0,135.94219360351562,,1.3054772701564632,0.9309873194556689,88.45165193961182
2021-07-12T04:00:00.000Z,142.64976728517905,142.7570893612842,140.49357462424308,140.9813995361328,76299700,0,0,137.05345764160157,,-0.42038670187690697,0.9576953515186126,84.23129885756563
2021-07-13T04:00:00.000Z,140.52284633857775,143.8693330567253,140.13259235448814,142.09364318847656,100827100,0,0,138.1130126953125,,0.7889293594781632,0.9459249473105432,83.73856441038154
2021-07-14T04:00:00.000Z,144.49375275658443,145.92795926693185,144.08396670742601,145.51817321777344,127050800,0,0,139.3637939453125,,2.4100515353487673,1.0754540746878454,87.66439304110446
2021-07-15T04:00:00.000Z,145.60602078776031,146.34750947636803,143.50836421958925,144.86451721191406,106820300,0,0,140.48774108886718,,-0.4491920090840873,1.1532303043620438,86.07007375120442
